name,x,y,z,AAL_Label,Broad_ROI
LTG1,-55.0615,20.8937,-16.9832336046813,Outside_AAL,Other
LTG2,-59.3863,15.1654,-11.5153269210165,Outside_AAL,Other
LTG3,-64.3236,2.69554,-11.0528036056444,Outside_AAL,Other
LTG4,-66.9316,-6.14732,-5.98052607960544,Outside_AAL,Other
LTG5,-70.1196,-14.3165,-2.20921883649754,Outside_AAL,Other
LTG6,-70.4895,-25.1482,2.67826785288542,Temporal_Mid_L,Temporal
LTG7,-69.646,-34.8581,12.746280987897,Outside_AAL,Other
LTG8,-67.162,-45.769,18.0549885965462,Outside_AAL,Other
LTG9,-54.5192,18.3287,-26.6660273750623,Temporal_Pole_Mid_L,Temporal
LTG10,-61.0536,8.39856,-23.0900612982662,Outside_AAL,Other
LTG11,-65.8161,-1.6553,-21.1539465048394,Outside_AAL,Other
LTG12,-69.2758,-9.98913,-16.0492448891503,Outside_AAL,Other
LTG13,-71.0324,-20.494,-13.0077657547455,Outside_AAL,Other
LTG14,-70.9836,-30.4352,-5.33021300102797,Temporal_Mid_L,Temporal
LTG15,-70.5577,-38.8693,4.38269576814609,Temporal_Mid_L,Temporal
LTG16,-67.2166,-49.4595,9.5373469985729,Outside_AAL,Other
LTG17,-55.7707,12.908,-35.936891768009,Outside_AAL,Other
LTG18,-59.6621,3.11257,-32.2901254769752,Temporal_Mid_L,Temporal
LTG19,-64.0828,-6.05662,-28.7060381062524,Outside_AAL,Other
LTG20,-67.0857,-16.6834,-24.1645622026712,Outside_AAL,Other
LTG21,-69.7774,-28.121,-22.5237190106415,Outside_AAL,Other
LTG22,-70.8824,-35.8089,-14.6976569313553,Temporal_Mid_L,Temporal
LTG23,-70.7907,-44.5239,-5.89062903912669,Temporal_Mid_L,Temporal
LTG24,-65.4626,-54.5532,2.57972395280011,Outside_AAL,Other
LTG25,-49.4468,4.33861,-47.2396472647516,Outside_AAL,Other
LTG26,-55.4542,-5.54455,-42.1575078684645,Outside_AAL,Other
LTG27,-60.9562,-12.6356,-36.3731281807522,Outside_AAL,Other
LTG28,-64.11,-21.2896,-30.8286919918152,Outside_AAL,Other
LTG29,-65.5834,-30.6956,-27.0628201406889,Outside_AAL,Other
LTG30,-67.7935,-39.7765,-23.2397227235289,Outside_AAL,Other
LTG31,-67.2,-49.097,-14.9402421870061,Temporal_Mid_L,Temporal
LTG32,-62.8434,-60.499,-5.18706944139889,Temporal_Inf_L,Temporal
LSTG1,-68.6339,-32.947,22.1806285444114,Outside_AAL,Other
LSTG2,-67.6703,-24.4722,14.6943105413561,Outside_AAL,Other
LSTG3,-69.0961,-12.5761,8.94252165865647,Outside_AAL,Other
LSTG4,-66.9748,-3.75528,6.7000498594306,Outside_AAL,Other
LSTG5,-64.6977,7.92123,0.723980883464745,Outside_AAL,Other
LSTG6,-61.4015,15.4824,1.53825871768446,Outside_AAL,Other
LSTG7,-67.7475,-31.8687,33.2527362527943,Outside_AAL,Other
LSTG8,-69.3506,-18.0479,24.7488674848256,Outside_AAL,Other
LSTG9,-68.2395,-10.5663,21.142316358126,Outside_AAL,Other
LSTG10,-67.3348,-1.10554,15.7980502588791,Outside_AAL,Other
LSTG11,-64.3111,10.1172,13.854137395216,Frontal_Inf_Oper_L,IFG
LSTG12,-62.9637,18.0959,7.91567737554452,Outside_AAL,Other
LITG1,-18.2433,-53.4316,-8.81854321389423,Lingual_L,Occipital
LITG2,-28.7006,-43.1005,-17.8526058458823,Fusiform_L,Occipital
LITG3,-39.3566,-36.6022,-27.4128041585952,Temporal_Inf_L,Temporal
LITG4,-46.0243,-31.8199,-29.0509245716178,Outside_AAL,Other
LITG5,-57.93,-28.6862,-29.9629802384555,Outside_AAL,Other
LITG6,-63.5981,-21.8325,-31.6079224349473,Outside_AAL,Other
LITG7,-24.9472,-58.7997,-13.0801053097168,Fusiform_L,Occipital
LITG8,-34.9738,-56.7602,-19.2636704064024,Fusiform_L,Occipital
LITG9,-40.8207,-48.781,-23.2275346696549,Fusiform_L,Occipital
LITG10,-51.7228,-41.3243,-29.8914844322245,Outside_AAL,Other
LITG11,-62.8981,-34.2198,-28.7269823142796,Outside_AAL,Other
LITG12,-68.2734,-28.0599,-26.1190472626922,Outside_AAL,Other
RLTG1,71.4268,-33.0068,-20.3840033247981,Outside_AAL,Other
RLTG2,69.7773,-19.3049,-20.9544125115443,Temporal_Mid_R,Temporal
RLTG3,67.5735,-9.39251,-22.3270934354434,Temporal_Mid_R,Temporal
RLTG4,64.896,-0.313221,-23.3753772613213,Temporal_Mid_R,Temporal
RLTG5,57.987,9.79644,-20.729671352296,Temporal_Pole_Mid_R,Temporal
RLTG6,53.3231,20.7433,-14.3170963028217,Temporal_Pole_Sup_R,Temporal
RLTG7,62.5406,-30.6884,-27.7956100202999,Temporal_Inf_R,Temporal
RLTG8,64.2435,-21.961,-30.070652286221,Temporal_Inf_R,Temporal
RLTG9,62.595,-10.3993,-32.3549241556123,Temporal_Inf_R,Temporal
RLTG10,61.1947,-0.147095,-34.2480991389894,Outside_AAL,Other
RLTG11,56.641,12.5725,-31.3711341843616,Temporal_Pole_Mid_R,Temporal
RLTG12,50.4457,22.12,-25.7109158571494,Temporal_Pole_Mid_R,Temporal
RSTG1,30.3714,-21.5014,-33.6356887106258,Outside_AAL,Other
RSTG2,39.751,-21.6036,-33.5660907104405,Fusiform_R,Occipital
RSTG3,49.491,-19.5534,-37.0149378717437,Outside_AAL,Other
RSTG4,58.9238,-16.5778,-34.8774448253587,Temporal_Inf_R,Temporal
RSTG5,65.4331,-12.4694,-28.9449264401226,Temporal_Inf_R,Temporal
RSTG6,68.0209,-9.10521,-17.9262972132405,Temporal_Mid_R,Temporal
RSTG7,27.4477,-10.6776,-40.2188171758925,Outside_AAL,Other
RSTG8,40.2154,-12.8061,-43.0040395002691,Outside_AAL,Other
RSTG9,50.9512,-8.13586,-44.0458014645027,Temporal_Inf_R,Temporal
RSTG10,58.5185,-5.74129,-39.8455806749149,Temporal_Inf_R,Temporal
RSTG11,62.6286,-1.03938,-32.0660294382889,Temporal_Mid_R,Temporal
RSTG12,65.1398,-0.740718,-22.5659913617563,Temporal_Mid_R,Temporal
