name,x,y,z,AAL_Label,Broad_ROI
RD1,22.5033,-26.2585,-14.1632885672817,ParaHippocampal_R,MTL
RD2,24.7587,-26.1126,-12.7679404914815,Hippocampus_R,MTL
RD3,28.4565,-27.7394,-11.2291098739246,Hippocampus_R,MTL
RD4,29.7386,-30.0839,-11.8370353809516,ParaHippocampal_R,MTL
RD5,32.3547,-33.2124,-11.8115745200821,ParaHippocampal_R,MTL
RD6,35.7083,-35.0659,-11.8106531561571,Fusiform_R,Occipital
RD7,40.2472,-35.0647,-10.0072589168992,Outside_AAL,Other
RD8,44.0107,-36.9385,-9.67869246753077,Outside_AAL,Other
RD9,47.5317,-37.5036,-6.25833192173083,Outside_AAL,Other
RD10,51.6745,-37.3828,-0.993205297356825,Temporal_Mid_R,Temporal
RD11,53.8281,-37.9268,-1.17255831929965,Temporal_Mid_R,Temporal
RD12,56.5771,-38.6546,-0.240387403704954,Temporal_Mid_R,Temporal
RD13,59.7908,-38.5812,-0.317650117305742,Temporal_Mid_R,Temporal
RD14,65.3947,-39.532,0.50869359693882,Temporal_Mid_R,Temporal
RA1,22.9591,-0.881099,-21.0755799118419,ParaHippocampal_R,MTL
RA2,26.1483,-0.141742,-21.7375855312641,Amygdala_R,MTL
RA3,31.6266,0.663849,-23.3318282401395,Amygdala_R,MTL
RA4,36.2488,0.211926,-26.1578572669636,Amygdala_R,MTL
RA5,39.6543,0.74814,-27.3614512702393,Outside_AAL,Other
RA6,43.1461,1.81564,-27.7313768307953,Outside_AAL,Other
RA7,49.227,3.19962,-31.6890905551358,Temporal_Mid_R,Temporal
RA8,55.4452,3.6417,-33.0679926390396,Temporal_Inf_R,Temporal
RC1,37.9425,-17.4356,-15.2270768773725,Hippocampus_R,MTL
RC2,40.3993,-17.5324,-14.7143855198417,Hippocampus_R,MTL
RC3,44.277,-18.0404,-14.4872030055377,Outside_AAL,Other
RC4,50.5109,-18.8347,-15.1863378561952,Outside_AAL,Other
RC5,56.2995,-18.9009,-13.3723095776685,Temporal_Mid_R,Temporal
RC6,61.2443,-17.6518,-14.7776624789972,Temporal_Mid_R,Temporal
RC7,66.3619,-17.3281,-14.8706947774644,Temporal_Mid_R,Temporal
RC8,72.0223,-17.5689,-15.5288030815976,Temporal_Mid_R,Temporal
LB1,-26.7575,-11.7812,-19.3734125014623,Hippocampus_L,MTL
LB2,-29.7532,-12.336,-21.2450769696899,Hippocampus_L,MTL
LB3,-37.2433,-13.5741,-24.4607800207373,Fusiform_L,Occipital
LB4,-42.7528,-15.3125,-24.7818447517279,Temporal_Inf_L,Temporal
LB5,-46.4042,-15.3963,-23.7462116665315,Temporal_Inf_L,Temporal
LB6,-49.6585,-14.6603,-22.1620925238693,Temporal_Mid_L,Temporal
LB7,-55.8551,-14.5588,-20.9120265773826,Temporal_Mid_L,Temporal
LB8,-61.6632,-12.1009,-19.5552390309523,Temporal_Mid_L,Temporal
LD1,-26.8534,-32.1874,-7.93551946219199,Hippocampus_L,MTL
LD2,-29.1372,-32.6865,-9.18383888208836,Hippocampus_L,MTL
LD3,-31.2996,-34.7755,-10.2879125167655,Hippocampus_L,MTL
LD4,-34.2449,-36.908,-12.3387544982477,Outside_AAL,Other
LD5,-37.4182,-38.2782,-12.2149225464023,Outside_AAL,Other
LD6,-39.8119,-39.3453,-13.1375810360277,Temporal_Inf_L,Temporal
LD7,-42.7274,-40.5618,-13.7853525685724,Temporal_Inf_L,Temporal
LD8,-45.5954,-40.1812,-15.9263209054873,Temporal_Inf_L,Temporal
LD9,-48.8314,-39.2361,-15.3244049996174,Temporal_Inf_L,Temporal
LD10,-53.6487,-38.6092,-15.6080344497229,Temporal_Inf_L,Temporal
LD11,-59.2312,-38.7263,-14.2932013737198,Temporal_Mid_L,Temporal
LD12,-66.7913,-40.1402,-14.3824476329489,Temporal_Mid_L,Temporal
RIFF1,12.8564,5.03666,32.4182274787271,Outside_AAL,Other
RIFF2,15.5929,5.04744,31.1613583881328,Outside_AAL,Other
RIFF3,19.5676,5.80345,28.8564428268484,Outside_AAL,Other
RIFF4,22.1298,5.45389,27.3503714176893,Outside_AAL,Other
RIFF5,25.3593,4.76382,24.6985135478984,Outside_AAL,Other
RIFF6,27.4708,4.28255,23.4483257207759,Outside_AAL,Other
RIFF7,29.7244,3.67316,21.9226780035235,Outside_AAL,Other
RIFF8,33.1041,3.07641,20.8616088317163,Outside_AAL,Other
RIFF9,36.5141,3.36492,20.1386682214064,Outside_AAL,Other
RIFF10,41.1444,2.21987,20.3923468068446,Outside_AAL,Other
RIFF11,44.9337,1.17179,18.2470139535698,Outside_AAL,Other
RIFF12,48.7386,1.4556,17.7420309998269,Outside_AAL,Other
RIFF13,54.1213,3.18604,17.1042309921097,Precentral_R,Other
RIFF14,57.2235,5.29277,15.4800741443167,Rolandic_Oper_R,Other
RIFF15,61.7247,7.62035,12.4767110696457,Rolandic_Oper_R,Other
RIFF16,63.2592,7.44568,11.1661504808184,Rolandic_Oper_R,Other
RMFF1,28.7143,15.8859,-14.0606585320128,Insula_R,Other
RMFF2,27.7228,17.8178,-9.69530889243765,Outside_AAL,Other
RMFF3,27.5315,18.8273,-6.29895631901782,Outside_AAL,Other
RMFF4,27.7837,19.3814,-2.6826693106566,Putamen_R,Other
RMFF5,26.5667,19.309,3.97512963142098,Putamen_R,Other
RMFF6,25.7932,18.406,8.06001138470946,Outside_AAL,Other
RMFF7,26.2592,17.8987,14.0133511293423,Outside_AAL,Other
RMFF8,27.5743,19.9402,17.5221533186765,Outside_AAL,Other
RMFF9,30.7525,19.8867,22.1583472179877,Outside_AAL,Other
RMFF10,32.7388,20.0724,25.3254649891831,Frontal_Inf_Tri_R,IFG
RMFF11,34.0574,21.9619,29.4574102305231,Frontal_Inf_Oper_R,IFG
RMFF12,34.8394,23.5713,33.8556941613352,Frontal_Mid_R,PFC
RMFF13,33.5022,25.8624,37.962159073065,Frontal_Mid_R,PFC
RMFF14,32.6797,26.6292,40.2770455206238,Frontal_Mid_R,PFC
RMFF15,33.1692,28.2142,43.5124205565151,Frontal_Mid_R,PFC
RMFF16,32.2813,29.2777,46.8834180213935,Frontal_Mid_R,PFC
LBRF1,-9.06671,12.2782,27.7648754071318,Outside_AAL,Other
LBRF2,-12.5561,12.2318,27.4620804806564,Outside_AAL,Other
LBRF3,-16.0554,11.0233,25.7351175992544,Outside_AAL,Other
LBRF4,-18.4416,10.9018,23.3595878229345,Caudate_L,Other
LBRF5,-21.0024,10.7917,21.7329417877204,Outside_AAL,Other
LBRF6,-25.1789,10.5852,19.9502768257088,Outside_AAL,Other
LBRF7,-28.1382,9.36969,18.3843377583848,Outside_AAL,Other
LBRF8,-31.6115,9.12293,16.5380811259409,Insula_L,Other
LBRF9,-36.3878,8.69512,15.2040474534886,Frontal_Inf_Oper_L,IFG
LBRF10,-40.5334,8.1258,14.2581154180678,Frontal_Inf_Oper_L,IFG
LBRF11,-43.7922,7.80165,13.3736203974713,Frontal_Inf_Oper_L,IFG
LBRF12,-47.644,7.80604,11.725284025575,Frontal_Inf_Oper_L,IFG
LBRF13,-51.2721,8.05917,9.37033302743688,Frontal_Inf_Oper_L,IFG
LBRF14,-55.7964,7.88923,7.97086540341258,Frontal_Inf_Oper_L,IFG
LBRF15,-59.1021,7.82931,7.68007319117412,Frontal_Inf_Oper_L,IFG
LBRF16,-63.3592,7.53644,7.61664911524601,Outside_AAL,Other
LE1,-41.2107,-30.6886,2.87139192627305,Outside_AAL,Other
LE2,-44.1489,-29.4967,4.61864226089011,Temporal_Sup_L,Temporal
LE3,-49.5054,-28.3201,5.04873820929122,Temporal_Sup_L,Temporal
LE4,-54.1028,-27.8768,5.95524664800051,Temporal_Sup_L,Temporal
LE5,-58.2968,-27.6936,5.51393412779609,Temporal_Sup_L,Temporal
